step,grand_mean_re,smoothed_re,derivative
213,0.91652704,0.90604342,-0.0002005821
214,0.90259265,0.90598754,-0.0000093061
215,0.90201784,0.90602481,0.0000697183
216,0.89937014,0.90612697,0.0000730326
217,0.90837818,0.90617087,0.0001155081
218,0.90211704,0.90635799,0.0000658220
219,0.91289168,0.90630252,0.0000332189
220,0.90759594,0.90642443,0.0001296345
221,0.90776565,0.90656178,0.0000902988
222,0.90854991,0.90660503,0.0001587018
223,0.90970813,0.90687919,0.0001175512
224,0.91408490,0.90684013,-0.0000472200
225,0.90367349,0.90678475,-0.0000325918
226,0.91164729,0.90677494,-0.0000681993
227,0.91164522,0.90664835,0.0000112804
228,0.90895745,0.90679750,0.0000904507
229,0.90981530,0.90682925,0.0000284595
230,0.91032753,0.90685442,0.0000897451
231,0.90651044,0.90700874,0.0001263416
232,0.91442274,0.90710711,0.0000146432
233,0.90893867,0.90703803,-0.0000481661
234,0.91143471,0.90701077,0.0001648301
235,0.90721647,0.90736769,0.0003093531
236,0.91352253,0.90762948,0.0000414814
237,0.89634163,0.90745065,-0.0001166915
238,0.91297766,0.90739610,-0.0001028016
239,0.90510339,0.90724505,-0.0000361826
240,0.90542206,0.90732373,0.0000887448
241,0.90850490,0.90742254,0.0000745661
242,0.90760410,0.90747286,0.0000850476
243,0.89923620,0.90759263,0.0001431367
244,0.90346003,0.90775914,-0.0000295024
245,0.90427740,0.90753363,-0.0001638997
246,0.90979199,0.90743134,-0.0000203845
247,0.91304012,0.90749286,0.0000786711
248,0.90379806,0.90758868,-0.0000187953
249,0.90172439,0.90745527,-0.0001201152
250,0.90755190,0.90734845,-0.0000345354
251,0.90565005,0.90738620,0.0000236982
252,0.90610331,0.90739585,0.0000210784
253,0.90474774,0.90742835,0.0000659845
254,0.90396610,0.90752782,-0.0000080216
255,0.90733089,0.90741231,-0.0001265230
256,0.90614100,0.90727477,-0.0000855996
257,0.90799087,0.90724111,-0.0000382816
258,0.90870150,0.90719821,-0.0000465122
259,0.91003741,0.90714809,-0.0000512214
260,0.91367872,0.90709576,-0.0000504310
261,0.89852499,0.90704723,-0.0001300416
262,0.90838756,0.90683568,0.0000123477
263,0.90897456,0.90707192,0.0000533744
264,0.90652687,0.90694243,-0.0000647125
265,0.90695810,0.90694250,0.0000535307
266,0.90188649,0.90704949,0.0000450057
267,0.91436658,0.90703251,-0.0000354227
268,0.91044230,0.90697865,0.0000363089
269,0.90161617,0.90710513,0.0000334745
270,0.90248148,0.90704559,-0.0000407492
271,0.91084166,0.90702363,-0.0000489218
272,0.91334101,0.90694775,-0.0001021232
273,0.90303750,0.90681938,-0.0000553439
274,0.90874402,0.90683706,0.0000204261
275,0.90556084,0.90686023,0.0000088528
276,0.91212976,0.90685477,0.0000623813
277,0.91327059,0.90698500,0.0000713377
278,0.91393053,0.90699744,0.0000570949
279,0.90404005,0.90709919,0.0000965555
280,0.90345047,0.90719056,0.0001091168
281,0.90482754,0.90731742,0.0001520189
282,0.91227749,0.90749459,0.0001184583
283,0.90643271,0.90755434,0.0001011973
284,0.90881854,0.90769699,0.0001028661
285,0.90478954,0.90776007,0.0000259506
286,0.90294530,0.90774889,0.0000309962
287,0.90815361,0.90782206,0.0000396420
288,0.90650311,0.90782817,-0.0000575157
289,0.90510669,0.90770703,-0.0000524837
290,0.91077183,0.90772321,0.0000237401
291,0.90765570,0.90775451,0.0000860326
292,0.90491103,0.90789527,0.0000012835
293,0.90556017,0.90775708,-0.0000832406
294,0.90048351,0.90772879,0.0000240022
295,0.90317900,0.90780508,0.0000477984
296,0.90599821,0.90782439,-0.0001153495
297,0.90662159,0.90757438,-0.0002705004
298,0.90468220,0.90728339,-0.0002019778
299,0.90288285,0.90717043,-0.0001333016
300,0.90727871,0.90701678,-0.0001175952
301,0.91216137,0.90693523,-0.0001568389
302,0.90672577,0.90670310,-0.0001144608
303,0.90983478,0.90670631,0.0000079299
304,0.90853461,0.90671896,0.0000963671
305,0.91367406,0.90689905,0.0001404409
306,0.91499972,0.90699985,0.0000388249
307,0.91097798,0.90697670,-0.0001508529
308,0.91583412,0.90669814,-0.0001705893
309,0.91319140,0.90663552,-0.0000729874
310,0.91311980,0.90655217,-0.0000375104
311,0.90218353,0.90656050,0.0000632862
312,0.90869322,0.90667874,0.0000818448
313,0.90291733,0.90672419,0.0000404825
314,0.90733573,0.90675970,0.0000050066
315,0.90852326,0.90673420,-0.0000294719
316,0.90892460,0.90670076,-0.0000702959
317,0.90745683,0.90659361,0.0000001877
318,0.90902800,0.90670113,0.0000291873
319,0.90543069,0.90665198,0.0000690657
320,0.90344679,0.90683927,0.0002283719
321,0.89834140,0.90710873,0.0002245530
322,0.89879124,0.90728837,0.0001207248
323,0.89738949,0.90735018,0.0000327416
324,0.90106187,0.90735386,0.0001228187
325,0.90148346,0.90759581,0.0001810477
326,0.90052325,0.90771595,0.0001097068
327,0.91343102,0.90781523,0.0001375120
328,0.91456309,0.90799097,0.0001533469
329,0.91304420,0.90812192,0.0000263669
330,0.90849042,0.90804371,-0.0000890132
331,0.90367009,0.90794390,-0.0002120798
332,0.89834965,0.90761955,-0.0002297123
333,0.90330161,0.90748447,-0.0001671426
334,0.90465089,0.90728526,-0.0001051294
335,0.90520614,0.90727421,0.0000202928
336,0.90885732,0.90732585,0.0001388793
337,0.91042608,0.90755197,0.0000134532
338,0.90827890,0.90735276,0.0000479302
339,0.90383156,0.90764783,0.0001981788
340,0.90909977,0.90774911,0.0001117755
341,0.90229817,0.90787138,0.0001300776
342,0.91028733,0.90800927,0.0001075654
343,0.90310260,0.90808651,0.0001218608
344,0.90984765,0.90825299,0.0001790507
345,0.91665205,0.90844461,0.0002100576
346,0.91498046,0.90867311,0.0002408032
347,0.90971182,0.90892622,0.0002042702
348,0.90486612,0.90908165,0.0001559990
349,0.91498079,0.90923822,0.0001230439
350,0.91328554,0.90932773,0.0000238205
351,0.91712522,0.90928586,0.0000716652
352,0.91551311,0.90947106,-0.0000120067
353,0.91638213,0.90926185,-0.0001818055
354,0.90462395,0.90910745,-0.0001169967
355,0.90868340,0.90902785,0.0000279660
356,0.89878239,0.90916338,0.0001964158
357,0.90422407,0.90942068,0.0002536588
358,0.90587377,0.90967070,0.0001526630
359,0.91263881,0.90972601,0.0001096011
360,0.91570166,0.90988990,0.0001194586
361,0.91348960,0.90996493,0.0000944113
362,0.89873247,0.91007873,0.0000833295
363,0.91767110,0.91013159,0.0000255911
364,0.91239984,0.91012991,0.0000795397
365,0.91463669,0.91029067,0.0000840033
366,0.91581892,0.91029792,0.0001555124
367,0.91131905,0.91060169,0.0001819229
368,0.91735186,0.91066176,0.0000911905
369,0.91501190,0.91078407,0.0000226534
370,0.91487135,0.91070707,-0.0002006536
371,0.91099717,0.91038276,-0.0001864808
372,0.90656249,0.91033411,-0.0000556238
373,0.90521814,0.91027152,0.0000459079
374,0.90553761,0.91042592,-0.0000316505
375,0.89938977,0.91020822,-0.0001657223
376,0.90978346,0.91009448,-0.0001963778
377,0.90297014,0.90981546,-0.0002508521
378,0.90684342,0.90959277,-0.0001583124
379,0.90906420,0.90949884,-0.0000407638
380,0.91526702,0.90951125,-0.0000509581
381,0.91653507,0.90939692,0.0000240625
382,0.91085055,0.90955937,0.0000927923
383,0.90606701,0.90958250,0.0000387407
384,0.91284560,0.90963685,-0.0000199244
385,0.90895729,0.90954266,-0.0001920999
386,0.91454730,0.90925265,-0.0002351629
387,0.91306904,0.90907233,-0.0000018297
388,0.90819505,0.90924899,-0.0000149741
389,0.91186938,0.90904238,-0.0001240345
390,0.90946229,0.90900092,-0.0000524767
391,0.91748689,0.90893743,-0.0000979404
392,0.91329090,0.90880504,-0.0001127486
393,0.90921808,0.90871193,-0.0002230271
394,0.90599751,0.90835899,-0.0002845020
395,0.90043683,0.90814293,-0.0001576871
396,0.91254759,0.90804362,-0.0000813660
397,0.90658230,0.90798019,-0.0000299624
398,0.91258643,0.90798369,-0.0000092200
399,0.90409544,0.90796175,0.0000051879
400,0.90759866,0.90799407,0.0000748132
401,0.90317432,0.90811138,0.0001498823
402,0.90437881,0.90829383,0.0001862153
403,0.91168519,0.90848381,0.0001614140
404,0.90524450,0.90861666,0.0000642499
405,0.90296704,0.90861231,-0.0000902886
406,0.90690500,0.90843608,-0.0001846220
407,0.90538069,0.90824307,-0.0001388880
408,0.90859121,0.90815831,-0.0000744006
409,0.90792893,0.90809427,-0.0000795486
410,0.90120155,0.90799921,-0.0000585082
411,0.90447341,0.90797725,-0.0001314104
412,0.90756568,0.90773639,-0.0002213286
413,0.90734047,0.90753459,-0.0001519332
414,0.91032702,0.90743252,-0.0001829888
415,0.91146183,0.90716861,-0.0002030652
416,0.90919973,0.90702639,-0.0000894047
417,0.90666337,0.90698980,-0.0000456398
418,0.89970482,0.90693511,-0.0000272892
419,0.90420873,0.90693523,-0.0000291695
420,0.90990580,0.90687677,0.0000069171
421,0.90782611,0.90694906,0.0000082701
422,0.90673731,0.90689331,-0.0000440465
423,0.90412132,0.90686097,-0.0001438642
424,0.90715322,0.90660558,-0.0001093420
425,0.90525549,0.90664228,-0.0000459548
426,0.91890598,0.90651367,0.0000379392
427,0.91246916,0.90671816,0.0001406589
428,0.91348580,0.90679499,-0.0000326054
429,0.90884681,0.90665295,-0.0001601387
430,0.90645555,0.90647471,-0.0001846059
431,0.90688434,0.90628374,-0.0001930319
432,0.90661249,0.90608865,-0.0001207823
433,0.90286501,0.90604217,-0.0000690115
434,0.90809274,0.90595063,-0.0000992831
435,0.90785934,0.90584361,0.0000613335
436,0.90250422,0.90607329,0.0001918915
437,0.90297927,0.90622739,0.0001036668
438,0.90309151,0.90628063,0.0000592195
439,0.89867403,0.90634583,-0.0000172892
440,0.90235111,0.90624605,-0.0001257967
441,0.91565760,0.90609424,-0.0001541093
442,0.91055621,0.90593783,-0.0000758294
443,0.90922385,0.90594258,0.0001157522
444,0.90307479,0.90616934,0.0001480424
445,0.90405126,0.90623866,-0.0000067230
446,0.90976017,0.90615589,-0.0000800801
447,0.90496507,0.90607850,-0.0000052020
448,0.89981724,0.90614549,0.0000580928
449,0.90593042,0.90619469,0.0000172925
450,0.90116820,0.90618007,-0.0000396984
451,0.91339870,0.90611529,-0.0001179910
452,0.90822031,0.90594409,-0.0000847406
453,0.90458315,0.90594581,-0.0000888940
454,0.89633267,0.90576630,-0.0000490995
455,0.89341828,0.90584761,-0.0000071919
456,0.89715057,0.90575192,-0.0000667446
457,0.90305690,0.90571412,0.0000251228
458,0.90401386,0.90580216,0.0001520839
459,0.90257797,0.90601829,0.0001080364
460,0.91268586,0.90601824,-0.0000108135
461,0.91217826,0.90599666,0.0000038371
462,0.91022751,0.90602591,0.0000424528
463,0.91060059,0.90608157,0.0000154845
464,0.90533798,0.90605688,0.0000938937
465,0.90387120,0.90626936,0.0001816436
466,0.90137944,0.90642017,-0.0000762834
467,0.90690073,0.90611679,-0.0002029459
468,0.91104268,0.90601427,-0.0000251815
469,0.90767511,0.90606643,0.0000660020
470,0.90576712,0.90614628,0.0000961654
471,0.90395678,0.90625876,0.0000649823
472,0.91008644,0.90627624,0.0001324272
473,0.90658147,0.90652361,0.0002187985
474,0.90642232,0.90671384,0.0001270541
475,0.90201654,0.90677772,0.0001794083
476,0.91034582,0.90707266,0.0001778144
477,0.91255525,0.90713335,0.0000846267
478,0.90451030,0.90724191,0.0001160814
479,0.91291236,0.90736551,0.0001429713
480,0.90167080,0.90752785,0.0001767511
481,0.90499462,0.90771901,0.0001308990
482,0.91101448,0.90778965,-0.0000112160
483,0.91367140,0.90769658,-0.0000629786
484,0.90808998,0.90766369,0.0000537257
485,0.90678074,0.90780403,0.0000223942
486,0.90396653,0.90770848,-0.0000734347
487,0.90576223,0.90765716,-0.0000068449
488,0.90185699,0.90769479,-0.0000715733
489,0.90929792,0.90751402,-0.0000219877
490,0.90989159,0.90765082,0.0002360643
491,0.90048878,0.90798615,0.0002165452
492,0.90543043,0.90808391,0.0000947538
493,0.91183147,0.90817565,-0.0000527613
494,0.90706736,0.90797838,-0.0001494276
495,0.90967522,0.90787680,-0.0000404006
496,0.91063444,0.90789758,0.0000214808
497,0.91733352,0.90791976,0.0000276672
498,0.90932864,0.90795292,0.0000360334
499,0.90912443,0.90799183,0.0000367309
500,0.91591502,0.90802638,0.0001310111
501,0.91643333,0.90825385,0.0000351142
502,0.91364836,0.90809661,-0.0001159720
503,0.91076324,0.90802190,0.0000396148
504,0.90444972,0.90817584,0.0000314534
505,0.90297635,0.90808481,0.0000100942
506,0.90068240,0.90819602,0.0001559361
507,0.89840346,0.90839668,0.0001528126
508,0.90236944,0.90850165,0.0000197883
509,0.90959497,0.90843626,0.0000228926
510,0.90790828,0.90854744,0.0001415104
511,0.90961236,0.90871928,0.0002459298
512,0.91210891,0.90903929,0.0002365464
513,0.90156186,0.90919237,0.0001809515
514,0.91217794,0.90940120,0.0000518766
515,0.92063768,0.90929613,-0.0000618420
516,0.90626748,0.90927751,0.0000417633
517,0.91148807,0.90937965,0.0000897151
518,0.90117922,0.90945694,0.0000121503
519,0.90259582,0.90940395,-0.0000380084
520,0.90680635,0.90938093,-0.0000334518
521,0.90506563,0.90933705,-0.0000738930
522,0.91174430,0.90923314,-0.0001123125
523,0.90852694,0.90911243,-0.0000382471
524,0.90814994,0.90915665,0.0000003169
525,0.91339004,0.90911306,-0.0000618931
526,0.90248374,0.90903286,-0.0001350376
527,0.90882013,0.90884298,-0.0001848058
528,0.91220690,0.90866325,-0.0001227371
529,0.90836111,0.90859751,-0.0000146324
530,0.90723147,0.90863398,0.0001077151
531,0.91502757,0.90881294,0.0002383964
532,0.91626280,0.90911078,0.0002734792
533,0.91040192,0.90935990,0.0001579924
534,0.91364873,0.90942676,0.0000178972
535,0.91537303,0.90939569,0.0000199766
536,0.91996721,0.90946671,0.0000255210
537,0.91341619,0.90944674,-0.0000729139
538,0.91229818,0.90932089,-0.0000000094
539,0.90404439,0.90944672,0.0000690020
540,0.90896091,0.90945889,-0.0001114698
541,0.90559578,0.90922378,-0.0000308387
542,0.90929494,0.90939721,0.0001127098
543,0.90918200,0.90944920,0.0000762256
544,0.90591600,0.90954966,0.0001060295
545,0.90748140,0.90966126,0.0000331103
546,0.90543896,0.90961589,0.0000183118
547,0.91129775,0.90969788,-0.0000731561
548,0.91153970,0.90946957,-0.0000445988
549,0.90694507,0.90960868,0.0000141117
550,0.91190507,0.90949780,-0.0000871996
551,0.90693951,0.90943428,0.0000448676
552,0.90466159,0.90958753,0.0000530226
553,0.90747630,0.90954033,-0.0000265158
554,0.90627341,0.90953450,0.0000031395
555,0.91192417,0.90954661,-0.0000247377
556,0.91557422,0.90948503,-0.0001099436
557,0.91085956,0.90932672,-0.0001591172
558,0.90571258,0.90916679,-0.0001071759
559,0.90804156,0.90911237,-0.0001364037
560,0.91145935,0.90889398,-0.0001769085
561,0.90861339,0.90875855,-0.0002154506
562,0.90581649,0.90846308,-0.0002206094
563,0.90785333,0.90831733,-0.0001858946
564,0.91278666,0.90809129,-0.0000644256
565,0.90888198,0.90818848,0.0000526250
566,0.91493932,0.90819654,0.0000573001
567,0.91408722,0.90830308,0.0000041825
568,0.90620263,0.90820491,-0.0000521637
569,0.90817535,0.90819875,0.0000022134
570,0.90453785,0.90820933,0.0000133711
571,0.90916532,0.90822550,0.0001358044
572,0.90032901,0.90848094,0.0001662540
573,0.91548235,0.90855800,0.0000741056
574,0.90260569,0.90862915,0.0001170973
575,0.91021433,0.90879220,0.0001139787
576,0.91014622,0.90885711,0.0001451753
577,0.90645992,0.90908255,0.0001489970
578,0.91191553,0.90915511,0.0000259662
579,0.90896642,0.90913448,0.0000156962
580,0.90415239,0.90918650,-0.0000493701
581,0.90711229,0.90903574,-0.0001218942
582,0.90826636,0.90894271,-0.0000614708
583,0.90768077,0.90891280,0.0000169567
584,0.90272951,0.90897662,-0.0000385412
585,0.90860140,0.90883572,-0.0001237600
586,0.90519378,0.90872910,-0.0000875029
587,0.90612868,0.90866071,-0.0000063470
